-3.796203,-79.352465;
-3.796337,-79.352658;
-3.796485,-79.352743;
-3.797037,-79.352991;
-3.7977,-79.353206;
-3.798355,-79.353481;
-3.798519,-79.35357;
-3.798592,-79.35373;
-3.798586,-79.354179;
-3.798384,-79.354314;
-3.79795,-79.354186;
-3.797793,-79.354202;
-3.797702,-79.354364;
-3.797664,-79.354582;
-3.797715,-79.354777;
-3.797833,-79.355372;
-3.797811,-79.355503;
-3.797681,-79.355951;
-3.797718,-79.356146;
-3.797826,-79.356338;
-3.797974,-79.356547;
-3.798023,-79.356776;
-3.798107,-79.356866;
-3.798284,-79.357009;
-3.798335,-79.35729;
-3.798351,-79.3575;
-3.798439,-79.357883;
-3.798466,-79.358861;
-3.798472,-79.359181;
-3.798374,-79.35945;
-3.797871,-79.360301;
-3.797717,-79.360677;
-3.797736,-79.360791;
-3.79801,-79.360996;
-3.798532,-79.36163;
-3.799185,-79.362705;
-3.799251,-79.362912;
-3.799219,-79.36318;
-3.798938,-79.363323;
-3.797963,-79.363753;
-3.797142,-79.364118;
-3.796443,-79.364658;
-3.796141,-79.364915;
-3.795984,-79.364936;
-3.795847,-79.36487;
-3.795473,-79.364566;
-3.794914,-79.364398;
-3.794239,-79.364084;
-3.793496,-79.363729;
-3.792659,-79.363549;
-3.7923,-79.363556;
-3.792053,-79.363531;
-3.791953,-79.363623;
-3.7917,-79.363934;
-3.791449,-79.363969;
-3.791094,-79.363853;
-3.790896,-79.363894;
-3.790529,-79.364343;
-3.790449,-79.364515;
-3.790433,-79.364886;
-3.790291,-79.365109;
-3.79009,-79.365128;
-3.789808,-79.365108;
-3.789316,-79.364823;
-3.788809,-79.364603;
-3.788752,-79.364421;
-3.788686,-79.364055;
-3.788203,-79.363508;
-3.788185,-79.363256;
-3.788419,-79.362276;
-3.788508,-79.362026;
-3.788796,-79.361701;
-3.78877,-79.361598;
-3.788372,-79.361384;
-3.788156,-79.361412;
-3.787755,-79.361148;
-3.787579,-79.361193;
-3.787179,-79.361508;
-3.786505,-79.361346;
-3.786363,-79.361162;
-3.785915,-79.360895;
-3.78543,-79.360361;
-3.785104,-79.359659;
-3.784817,-79.359503;
-3.784515,-79.359308;
-3.78449,-79.358803;
-3.784352,-79.358686;
-3.783959,-79.358674;
-3.783404,-79.358325;
-3.783208,-79.358104;
-3.783101,-79.358142;
-3.783062,-79.358296;
-3.783179,-79.359085;
-3.783039,-79.359302;
-3.783014,-79.359411;
-3.783182,-79.359687;
-3.783201,-79.360107;
-3.783103,-79.360294;
-3.783108,-79.360455;
-3.783338,-79.361162;
-3.7833,-79.361383;
-3.783076,-79.361898;
-3.782801,-79.362106;
-3.782775,-79.362187;
-3.783371,-79.362563;
-3.783512,-79.362743;
-3.784016,-79.364459;
-3.784323,-79.364628;
-3.784501,-79.364826;
-3.784687,-79.365486;
-3.784613,-79.365661;
-3.784505,-79.365775;
-3.783946,-79.366534;
-3.783469,-79.366648;
-3.783376,-79.366643;
-3.782836,-79.366953;
-3.78228,-79.367276;
-3.78215,-79.367248;
-3.781585,-79.367036;
-3.7812,-79.36706;
-3.781048,-79.366923;
-3.78103,-79.366758;
-3.780881,-79.366616;
-3.780649,-79.36681;
